team,touchdowns,wins,division
Patriots,51,14,AFC East
Dolphins,45,10,AFC East
Bills,49,7,AFC East
Jets,28,5,AFC East
Steelers,47,11,AFC North
Ravens,32,8,AFC North
Bengals,35,6,AFC North
Browns,29,1,AFC North
Texans,25,9,AFC South
Titans,46,9,AFC South
Colts,47,8,AFC South
Jaguars,34,3,AFC South
Chiefs,42,12,AFC West
Raiders,47,12,AFC West
Broncos,35,9,AFC West
Chargers,48,5,AFC West
Cowboys,49,13,NFC East
Giants,36,11,NFC East
Redskins,43,8,NFC East
Eagles,37,7,NFC East
Packers,51,10,NFC North
Lions,36,9,NFC North
Vikings,36,8,NFC North
Bears,32,3,NFC North
Falcons,63,11,NFC South
Buccaneers,41,9,NFC South
Saints,55,7,NFC South
Panthers,40,6,NFC South
Seahawks,37,10,NFC West
Cardinals,51,7,NFC West
Rams,24,4,NFC West
49ers,36,2,NFC West
